filename,ebird_code,idx,event_idx
0_3835_0.wav,0,3835,0
0_3835_1.wav,0,3835,1
0_3835_2.wav,0,3835,2
0_3836_0.wav,0,3836,0
0_3836_1.wav,0,3836,1
0_3836_10.wav,0,3836,10
0_3836_11.wav,0,3836,11
0_3836_12.wav,0,3836,12
0_3836_2.wav,0,3836,2
0_3836_3.wav,0,3836,3
0_3836_4.wav,0,3836,4
0_3836_5.wav,0,3836,5
0_3836_6.wav,0,3836,6
0_3836_7.wav,0,3836,7
0_3836_8.wav,0,3836,8
0_3836_9.wav,0,3836,9
0_3837_0.wav,0,3837,0
0_3837_1.wav,0,3837,1
0_3837_2.wav,0,3837,2
0_3837_3.wav,0,3837,3
0_3837_4.wav,0,3837,4
0_3838_0.wav,0,3838,0
0_3838_1.wav,0,3838,1
0_3838_2.wav,0,3838,2
0_3838_3.wav,0,3838,3
0_3839_0.wav,0,3839,0
0_3839_1.wav,0,3839,1
0_3839_10.wav,0,3839,10
0_3839_11.wav,0,3839,11
0_3839_12.wav,0,3839,12
0_3839_13.wav,0,3839,13
0_3839_14.wav,0,3839,14
0_3839_15.wav,0,3839,15
0_3839_16.wav,0,3839,16
0_3839_17.wav,0,3839,17
0_3839_18.wav,0,3839,18
0_3839_19.wav,0,3839,19
0_3839_2.wav,0,3839,2
0_3839_3.wav,0,3839,3
0_3839_4.wav,0,3839,4
0_3839_5.wav,0,3839,5
0_3839_6.wav,0,3839,6
0_3839_7.wav,0,3839,7
0_3839_8.wav,0,3839,8
0_3839_9.wav,0,3839,9
0_3840_0.wav,0,3840,0
0_3840_1.wav,0,3840,1
0_3840_2.wav,0,3840,2
0_3840_3.wav,0,3840,3
0_3840_4.wav,0,3840,4
0_3841_0.wav,0,3841,0
0_3841_1.wav,0,3841,1
0_3841_2.wav,0,3841,2
0_3841_3.wav,0,3841,3
0_3841_4.wav,0,3841,4
0_3842_0.wav,0,3842,0
0_3842_1.wav,0,3842,1
0_3842_2.wav,0,3842,2
0_3842_3.wav,0,3842,3
0_3843_0.wav,0,3843,0
0_3843_1.wav,0,3843,1
0_3843_2.wav,0,3843,2
0_3843_3.wav,0,3843,3
0_3843_4.wav,0,3843,4
0_3844_0.wav,0,3844,0
0_3844_1.wav,0,3844,1
0_3844_2.wav,0,3844,2
0_3844_3.wav,0,3844,3
0_3844_4.wav,0,3844,4
0_3844_5.wav,0,3844,5
0_3844_6.wav,0,3844,6
0_3844_7.wav,0,3844,7
0_3844_8.wav,0,3844,8
0_3845_0.wav,0,3845,0
0_3845_1.wav,0,3845,1
0_3845_10.wav,0,3845,10
0_3845_11.wav,0,3845,11
0_3845_12.wav,0,3845,12
0_3845_13.wav,0,3845,13
0_3845_14.wav,0,3845,14
0_3845_15.wav,0,3845,15
0_3845_16.wav,0,3845,16
0_3845_17.wav,0,3845,17
0_3845_18.wav,0,3845,18
0_3845_19.wav,0,3845,19
0_3845_2.wav,0,3845,2
0_3845_20.wav,0,3845,20
0_3845_3.wav,0,3845,3
0_3845_4.wav,0,3845,4
0_3845_5.wav,0,3845,5
0_3845_6.wav,0,3845,6
0_3845_7.wav,0,3845,7
0_3845_8.wav,0,3845,8
0_3845_9.wav,0,3845,9
0_3847_0.wav,0,3847,0
0_3847_1.wav,0,3847,1
0_3847_2.wav,0,3847,2
0_3847_3.wav,0,3847,3
0_3848_0.wav,0,3848,0
0_3848_1.wav,0,3848,1
0_3848_2.wav,0,3848,2
0_3848_3.wav,0,3848,3
0_3848_4.wav,0,3848,4
0_3848_5.wav,0,3848,5
0_3848_6.wav,0,3848,6
0_3849_0.wav,0,3849,0
10_3851_0.wav,10,3851,0
10_3851_1.wav,10,3851,1
10_3851_10.wav,10,3851,10
10_3851_11.wav,10,3851,11
10_3851_2.wav,10,3851,2
10_3851_3.wav,10,3851,3
10_3851_4.wav,10,3851,4
10_3851_5.wav,10,3851,5
10_3851_6.wav,10,3851,6
10_3851_7.wav,10,3851,7
10_3851_8.wav,10,3851,8
10_3851_9.wav,10,3851,9
10_3852_0.wav,10,3852,0
10_3852_1.wav,10,3852,1
10_3852_2.wav,10,3852,2
10_3852_3.wav,10,3852,3
10_3852_4.wav,10,3852,4
10_3853_0.wav,10,3853,0
10_3854_0.wav,10,3854,0
10_3854_1.wav,10,3854,1
10_3854_10.wav,10,3854,10
10_3854_11.wav,10,3854,11
10_3854_12.wav,10,3854,12
10_3854_13.wav,10,3854,13
10_3854_14.wav,10,3854,14
10_3854_2.wav,10,3854,2
10_3854_3.wav,10,3854,3
10_3854_4.wav,10,3854,4
10_3854_5.wav,10,3854,5
10_3854_6.wav,10,3854,6
10_3854_7.wav,10,3854,7
10_3854_8.wav,10,3854,8
10_3854_9.wav,10,3854,9
10_3855_0.wav,10,3855,0
10_3855_1.wav,10,3855,1
10_3855_2.wav,10,3855,2
10_3855_3.wav,10,3855,3
10_3855_4.wav,10,3855,4
10_3855_5.wav,10,3855,5
10_3855_6.wav,10,3855,6
10_3855_7.wav,10,3855,7
10_3855_8.wav,10,3855,8
10_3855_9.wav,10,3855,9
10_3856_0.wav,10,3856,0
10_3856_1.wav,10,3856,1
10_3856_10.wav,10,3856,10
10_3856_11.wav,10,3856,11
10_3856_12.wav,10,3856,12
10_3856_13.wav,10,3856,13
10_3856_14.wav,10,3856,14
10_3856_15.wav,10,3856,15
10_3856_16.wav,10,3856,16
10_3856_17.wav,10,3856,17
10_3856_18.wav,10,3856,18
10_3856_19.wav,10,3856,19
10_3856_2.wav,10,3856,2
10_3856_20.wav,10,3856,20
10_3856_21.wav,10,3856,21
10_3856_22.wav,10,3856,22
10_3856_23.wav,10,3856,23
10_3856_24.wav,10,3856,24
10_3856_25.wav,10,3856,25
10_3856_26.wav,10,3856,26
10_3856_27.wav,10,3856,27
10_3856_28.wav,10,3856,28
